"ID";"WijkenEnBuurten";"Gemeentenaam_1";"PersonenPerSoortUitkeringBijstand_83";"PersonenPerSoortUitkeringAO_84";"PersonenPerSoortUitkeringWW_85";"PersonenPerSoortUitkeringAOW_86";"BedrijfsvestigingenTotaal_91";"ALandbouwBosbouwEnVisserij_92";"BFNijverheidEnEnergie_93";"GIHandelEnHoreca_94";"HJVervoerInformatieEnCommunicatie_95";"KLFinancieleDienstenOnroerendGoed_96";"MNZakelijkeDienstverlening_97";"OQOverheidOnderwijsEnZorg_98";"RUCultuurRecreatieOverigeDiensten_99";"AfstandTotSchool_109";"ScholenBinnen3Km_110"
"0";"NL00      ";"Nederland                               ";"       .";"       .";"       .";"       .";" 2275240";"   79965";"  316395";"  391415";"  172250";"  184765";"  519465";"  362260";"  248725";"       .";"       ."
"1";"GM1680    ";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"    3120";"     300";"     375";"     500";"     155";"     210";"     660";"     560";"     350";"       .";"       ."
"2";"WK168000  ";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"     390";"      20";"      45";"      65";"      15";"      35";"      90";"      80";"      40";"       .";"       ."
"3";"BU16800000";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"     360";"      15";"      45";"      60";"      10";"      35";"      80";"      75";"      35";"       .";"       ."
"4";"BU16800009";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      30";"      10";"       0";"       0";"       0";"       0";"      10";"       5";"       5";"       .";"       ."
"5";"WK168001  ";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"     195";"      15";"      30";"      35";"       5";"      20";"      30";"      30";"      25";"       .";"       ."
"6";"BU16800100";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"     150";"      10";"      30";"      30";"       5";"      20";"      25";"      25";"      15";"       .";"       ."
"7";"BU16800109";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      45";"       5";"       0";"       5";"       0";"       5";"       5";"      10";"      10";"       .";"       ."
"8";"WK168002  ";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      70";"       5";"       5";"      10";"       5";"       5";"      10";"      20";"       5";"       .";"       ."
"9";"BU16800200";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      60";"       5";"       5";"      10";"       0";"       5";"      10";"      15";"       5";"       .";"       ."
"10";"BU16800209";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      10";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"11";"WK168003  ";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      70";"       5";"      15";"       5";"       5";"       5";"      15";"      20";"       5";"       .";"       ."
"12";"BU16800300";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      70";"       5";"      15";"       5";"       0";"       5";"      15";"      20";"       5";"       .";"       ."
"13";"BU16800309";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"14";"WK168004  ";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      50";"      10";"       5";"       5";"       0";"       5";"      10";"      10";"       0";"       .";"       ."
"15";"BU16800400";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      45";"      10";"       5";"       5";"       0";"       5";"      10";"      10";"       0";"       .";"       ."
"16";"BU16800409";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"       5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"17";"WK168005  ";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      80";"       5";"       5";"       5";"       5";"      15";"      15";"      20";"       5";"       .";"       ."
"18";"BU16800500";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      70";"       5";"       5";"       5";"       5";"      15";"      15";"      20";"       5";"       .";"       ."
"19";"BU16800509";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      10";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"20";"WK168006  ";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      75";"      10";"      10";"       5";"       5";"       0";"      25";"      10";"      10";"       .";"       ."
"21";"BU16800600";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      75";"      10";"      10";"       5";"       5";"       0";"      25";"      10";"      10";"       .";"       ."
"22";"BU16800609";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"23";"WK168007  ";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      15";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"24";"BU16800700";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      15";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"25";"BU16800709";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"26";"WK168008  ";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      20";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"27";"BU16800800";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      15";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"28";"BU16800809";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"       5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"29";"WK168009  ";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      15";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"30";"BU16800900";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      15";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"31";"BU16800909";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"32";"WK168011  ";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"      50";"       5";"      10";"      10";"       0";"       0";"      10";"       5";"      10";"       .";"       ."
