"","Cluster"
"Aalten",10
"Achtkarspelen",10
"Altena",10
"Asten",10
"Beek",10
"Beekdaelen",10
"Beesel",10
"Berg en Dal",10
"Bergeijk",10
"Bergen (NH.)",10
"Bernheze",10
"Beuningen",10
"Bladel",10
"Bloemendaal",10
"Bodegraven-Reeuwijk",10
"Brielle",10
"Brummen",10
"Bunnik",10
"Castricum",10
"Cranendonck",10
"Dantumadiel",10
"Deurne",10
"Dongen",10
"Drechterland",10
"Drimmelen",10
"Duiven",10
"Echt-Susteren",10
"Edam-Volendam",10
"Eemnes",10
"Eijsden-Margraten",10
"Elburg",10
"Epe",10
"Ermelo",10
"Gemert-Bakel",10
"Gennep",10
"Gilze en Rijen",10
"Goirle",10
"Haaksbergen",10
"Halderberge",10
"Hardinxveld-Giessendam",10
"Hattem",10
"Heerde",10
"Heeze-Leende",10
"Heiloo",10
"Hellendoorn",10
"Heumen",10
"Heusden",10
"Hilvarenbeek",10
"Kaag en Braassem",10
"Kampen",10
"Kapelle",10
"Krimpenerwaard",10
"Laarbeek",10
"Landsmeer",10
"Laren",10
"Leusden",10
"Lingewaard",10
"Loon op Zand",10
"Losser",10
"Maasdriel",10
"Maasgouw",10
"Maashorst",10
"Medemblik",10
"Meerssen",10
"Moerdijk",10
"Montferland",10
"Montfoort",10
"Mook en Middelaar",10
"Neder-Betuwe",10
"Nieuwkoop",10
"Nuenen, Gerwen en Nederwetten",10
"Nunspeet",10
"Oisterwijk",10
"Oldebroek",10
"Oost Gelre",10
"Oostzaan",10
"Opmeer",10
"Oudewater",10
"Pekela",10
"Reimerswaal",10
"Rhenen",10
"Rijssen-Holten",10
"Roerdalen",10
"De Ronde Venen",10
"Rozendaal",10
"Rucphen",10
"Schagen",10
"Simpelveld",10
"Sint-Michielsgestel",10
"Someren",10
"Son en Breugel",10
"Stadskanaal",10
"Stede Broec",10
"Steenbergen",10
"Stein",10
"Twenterand",10
"Uitgeest",10
"Utrechtse Heuvelrug",10
"Veendam",10
"Vijfheerenlanden",10
"Voerendaal",10
"Vught",10
"Waalre",10
"Waterland",10
"Westvoorne",10
"Wierden",10
"Wijchen",10
"Wijdemeren",10
"Wijk bij Duurstede",10
"Woensdrecht",10
"Wormerland",10
"Zaltbommel",10
"Zevenaar",10
"Zwartewaterland",10
