Regio;Percentage hoog-risicojongeren
's-Hertogenbosch;6.3
Aa en Hunze;2.5
Aalsmeer;2.8
Aalten;3
Achtkarspelen;4.1
Alblasserdam;4.8
Albrandswaard;3.4
Alkmaar;5.8
Almelo;5
Almere;6.7
Alphen aan den Rijn;4.7
Alphen-Chaam;2
Altena;3.4
Ameland;1.6
Amersfoort;4.7
Amstelveen;3
Amsterdam;6.5
Apeldoorn;5.6
Appingedam;7.4
Arnhem;5.8
Assen;4.3
Asten;3.9
Baarle-Nassau;1.7
Baarn;3.8
Barendrecht;3.6
Barneveld;3
Beek;3
Beekdaelen;4.7
Beemster;3.8
Beesel;4.1
Berg en Dal;4.7
Bergeijk;2
Bergen (L.);3.9
Bergen (NH.);3.2
Bergen op Zoom;7
Berkelland;3.3
Bernheze;2.6
Best;3.5
Beuningen;2.8
Beverwijk;5.6
Bladel;3.1
Blaricum;2.2
Bloemendaal;1.4
Bodegraven-Reeuwijk;3.8
Boekel;3.8
Borger-Odoorn;2.9
Borne;4.1
Borsele;4.7
Boxmeer;3.5
Boxtel;5.4
Breda;6
Brielle;3.6
Bronckhorst;2
Brummen;3.7
Brunssum;5.3
Bunnik;2.3
Bunschoten;4.3
Buren;3.5
Capelle aan den IJssel;5.2
Castricum;3.9
Coevorden;3.1
Cranendonck;3.3
Cuijk;6.5
Culemborg;5.4
Dalfsen;2
Dantumadiel;3.1
De Bilt;3.4
De Fryske Marren;2.9
De Ronde Venen;3.7
De Wolden;2.8
Delft;4.1
Delfzijl;4.9
Den Haag;6.7
Den Helder;6.9
Deurne;4.9
Deventer;5
Diemen;3.8
Dinkelland;1.6
Doesburg;6.7
Doetinchem;4.8
Dongen;5.9
Dordrecht;6.5
Drechterland;3.6
Drimmelen;4.5
Dronten;3.9
Druten;3.6
Duiven;3.7
Echt-Susteren;3.6
Edam-Volendam;2.7
Ede;3.9
Eemnes;3
Eersel;3.7
Eijsden-Margraten;4
Eindhoven;5.9
Elburg;3.8
Emmen;5.7
Enkhuizen;6.2
Enschede;5.9
Epe;3.4
Ermelo;5.1
Etten-Leur;4.4
Geertruidenberg;5.3
Geldrop-Mierlo;5.9
Gemert-Bakel;4.9
Gennep;4.7
Gilze en Rijen;5
Goeree-Overflakkee;3.5
Goes;6.3
Goirle;4
Gooise Meren;2.5
Gorinchem;7.5
Gouda;5.8
Grave;4.7
Groningen;5.3
Gulpen-Wittem;3.2
Haaksbergen;3.4
Haaren;3.3
Haarlem;5.4
Haarlemmermeer;4.5
Halderberge;4.8
Hardenberg;3.2
Harderwijk;4.4
Hardinxveld-Giessendam;3.2
Harlingen;5.6
Hattem;3.9
Heemskerk;4.8
Heemstede;2.7
Heerde;3.4
Heerenveen;4.3
Heerhugowaard;5.5
Heerlen;6.6
Heeze-Leende;3.1
Heiloo;3.2
Hellendoorn;3.2
Hellevoetsluis;5.5
Helmond;7.2
Hendrik-Ido-Ambacht;4.7
Hengelo;5.8
Het Hogeland;3.9
Heumen;2.3
Heusden;4.2
Hillegom;4.9
Hilvarenbeek;3.9
Hilversum;5
Hoeksche Waard;4.8
Hof van Twente;3.8
Hollands Kroon;3
Hoogeveen;5.6
Hoorn;5.6
Horst aan de Maas;2.4
Houten;2.2
Huizen;4.8
Hulst;4.3
IJsselstein;4
Kaag en Braassem;4.2
Kampen;4.7
Kapelle;3.8
Katwijk;6.2
Kerkrade;7.9
Koggenland;2.2
Krimpen aan den IJssel;5.4
Krimpenerwaard;3.3
Laarbeek;5.4
Landerd;2.8
Landgraaf;5.9
Landsmeer;4.1
Langedijk;2.9
Lansingerland;3.5
Laren;1.3
Leeuwarden;4.7
Leiden;5.4
Leiderdorp;4.8
Leidschendam-Voorburg;4.3
Lelystad;5.9
Leudal;3.2
Leusden;2.7
Lingewaard;3.7
Lisse;4.4
Lochem;2.9
Loon op Zand;5
Lopik;2.4
Loppersum;2.1
Losser;3.1
Maasdriel;4.2
Maasgouw;2.7
Maassluis;6.4
Maastricht;4.1
Medemblik;4.2
Meerssen;3.9
Meierijstad;4
Meppel;3.9
Middelburg;6.5
Midden-Delfland;3.5
Midden-Drenthe;3
Midden-Groningen;4.4
Mill en Sint Hubert;2.2
Moerdijk;3.9
Molenlanden;3
Montferland;3.7
Montfoort;2.7
Mook en Middelaar;3.3
Neder-Betuwe;3.1
Nederweert;3.2
Nieuwegein;6.7
Nieuwkoop;3.7
Nijkerk;4.1
Nijmegen;5.4
Nissewaard;5.9
Noardeast-Fryslân;3.3
Noord-Beveland;4.6
Noordenveld;2.9
Noordoostpolder;3.7
