"Gemeenten";"Bevolkingsdichtheid|2019";"Personen per huishouden|2019";"Huishoudens alleenstaand totaal|2019";"Huishoudens samenwonend zonder kinderen totaal|2019";"Huishoudens samenwonend met kind en eenoudergezinnen totaal|2019";"Huishoudens eenouder totaal|2019";"Beroepsbevolking|2019"
"Aa en Hunze";92;2,28;29,2;38,9;31,9;5,3;676
"Aalsmeer";1577;2,42;29,0;29,3;41,7;7,3;770
"Aalten";280;2,37;29,6;34,6;35,9;5,7;746
"Achtkarspelen";272;2,38;30,1;31,5;38,4;7,2;723
"Alblasserdam";2286;2,46;29,9;30,6;39,5;7,1;770
"Albrandswaard";1165;2,48;26,1;30,4;43,4;8,0;739
"Alkmaar";983;2,10;40,5;27,4;32,1;8,2;745
"Almelo";1083;2,23;36,7;28,2;35,1;8,2;708
"Almere";1609;2,38;31,9;24,5;43,6;12,2;739
"Alphen aan den Rijn";879;2,30;32,9;31,0;36,1;7,1;737
"Alphen-Chaam";109;2,43;24,4;38,9;36,7;5,6;781
"Altena";276;2,52;26,8;33,1;40,1;5,6;753
"Ameland";62;2,14;38,8;31,5;29,6;4,6;724
"Amersfoort";2496;2,28;36,6;26,4;37,1;7,7;764
"Amstelveen";2209;2,10;43,3;23,6;33,1;7,2;738
"Amsterdam";4686;1,84;54,5;21,1;24,4;8,6;728
"Apeldoorn";478;2,23;36,1;30,7;33,3;7,1;718
"Arnhem";1628;1,99;47,9;23,7;28,4;8,2;700
"Assen";830;2,19;38,1;28,8;33,1;8,3;704
"Asten";238;2,34;32,0;32,5;35,5;5,3;711
"Baarle-Nassau";90;2,23;32,6;35,2;32,2;6,2;780
"Baarn";761;2,24;38,1;29,4;32,5;7,0;714
"Barendrecht";2464;2,53;24,9;30,3;44,8;8,0;772
"Barneveld";330;2,65;28,0;30,2;41,9;5,0;776
"Beek";757;2,17;31,8;36,4;31,8;6,8;738
"Beekdaelen";456;2,22;30,0;36,8;33,2;6,8;701
"Beesel";483;2,30;28,9;35,6;35,6;6,2;680
"Berg en Dal";403;2,22;34,5;33,0;32,5;6,5;681
"Bergeijk";183;2,38;27,8;35,7;36,5;5,6;782
"Bergen (L.)";127;2,34;27,8;36,7;35,5;5,9;691
"Bergen (NH.)";303;2,16;36,9;33,2;29,9;6,9;678
"Bergen op Zoom";836;2,23;34,5;32,1;33,4;7,5;707
"Berkelland";170;2,34;29,6;35,8;34,6;5,4;699
"Bernheze";343;2,49;26,5;33,3;40,2;6,0;777
"Best";869;2,36;28,9;32,2;39,0;7,2;794
"Beuningen";593;2,33;27,9;34,0;38,2;6,9;748
"Beverwijk";2238;2,18;38,5;26,7;34,8;8,5;734
"Bladel";268;2,37;29,5;34,3;36,1;5,8;790
"Blaricum";1008;2,31;30,3;32,9;36,8;6,7;736
"Bloemendaal";588;2,41;31,5;31,5;37,0;6,3;677
"Bodegraven-Reeuwijk";457;2,43;28,5;33,0;38,5;6,0;745
"Boekel";307;2,61;25,3;33,0;41,8;5,5;746
"Borger-Odoorn";92;2,28;27,8;39,4;32,7;5,6;672
"Borne";893;2,40;27,4;34,3;38,3;6,1;766
"Borsele";161;2,40;29,5;34,2;36,3;5,8;768
"Boxtel";454;2,27;34,0;32,1;33,9;6,8;723
"Breda";1462;2,08;42,6;27,3;30,2;7,1;749
"Bronckhorst";128;2,33;28,3;37,5;34,2;4,8;731
"Brummen";247;2,29;29,1;37,3;33,6;6,2;708
"Brunssum";1629;2,06;38,5;31,5;30,0;8,3;652
"Bunnik";411;2,36;30,7;31,8;37,5;5,5;738
"Bunschoten";710;2,63;24,9;30,4;44,7;5,3;750
"Buren";198;2,43;25,0;36,1;38,9;6,1;733
"Capelle aan den IJssel";4725;2,16;37,8;27,3;35,0;11,1;712
"Castricum";720;2,28;32,7;32,4;34,9;5,9;753
"Coevorden";120;2,30;30,9;35,2;33,9;6,5;677
"Cranendonck";268;2,31;28,8;36,5;34,7;6,0;710
"Culemborg";975;2,32;32,9;29,3;37,7;7,6;738
"Dalfsen";173;2,49;26,3;34,3;39,4;4,5;763
"Dantumadiel";224;2,44;29,3;32,6;38,1;5,4;712
"De Bilt";648;2,23;37,3;28,8;33,9;6,9;718
"De Fryske Marren";146;2,32;31,3;34,1;34,6;5,7;731
"De Ronde Venen";441;2,33;30,2;31,7;38,1;7,3;749
"De Wolden";107;2,38;28,2;36,5;35,3;5,4;723
"Delft";4555;1,76;57,4;21,7;21,0;6,0;704
"Den Haag";6523;2,04;47,6;21,2;31,2;9,4;690
"Den Helder";1229;2,08;40,3;29,6;30,1;8,9;684
"Deurne";277;2,36;30,2;34,0;35,7;6,0;736
"Deventer";765;2,17;38,9;27,9;33,2;7,6;725
"Diemen";2435;1,99;46,8;23,1;30,1;8,5;745
"Dijk en Waard";1365;2,42;29,2;30,9;39,9;7,9;736
"Dinkelland";150;2,57;25,7;33,2;41,1;4,9;760
"Doesburg";967;2,13;35,7;32,2;32,1;8,1;695
"Doetinchem";728;2,24;34,8;31,3;33,9;6,9;711
"Dongen";891;2,36;29,0;33,5;37,5;6,6;758
"Dordrecht";1511;2,17;39,2;27,3;33,6;8,6;697
"Drechterland";333;2,41;27,7;34,5;37,8;6,1;741
"Drimmelen";285;2,35;27,5;36,6;35,9;5,5;717
"Dronten";122;2,35;30,4;33,4;36,2;6,7;744
"Druten";499;2,42;27,5;33,7;38,8;7,3;763
"Duiven";747;2,37;27,6;32,6;39,9;7,3;764
"Echt-Susteren";307;2,23;31,5;35,9;32,6;6,5;697
"Edam-Volendam";664;2,44;28,1;31,5;40,4;5,8;765
"Ede";364;2,37;34,4;30,1;35,5;5,5;735
"Eemnes";294;2,36;29,3;31,2;39,5;7,7;722
"Eemsdelta";172;2,15;36,4;32,6;31,0;7,8;667
"Eersel";232;2,39;29,1;35,6;35,3;5,2;768
"Eijsden-Margraten";331;2,33;26,8;37,5;35,7;5,2;723
"Eindhoven";2643;1,94;48,3;25,3;26,3;6,9;742
"Elburg";362;2,55;26,6;33,1;40,4;5,5;767
"Emmen";320;2,21;34,3;32,4;33,3;7,6;678
"Enkhuizen";1460;2,16;37,5;30,3;32,3;8,0;715
"Enschede";1129;2,02;45,8;25,6;28,6;7,3;674
"Epe";212;2,35;30,1;35,2;34,6;5,6;691
"Ermelo";314;2,40;33,9;32,0;34,1;5,5;702
"Etten-Leur";792;2,33;29,8;32,9;37,2;7,4;729
"Geertruidenberg";808;2,31;29,7;33,3;37,0;7,0;736
"Geldrop-Mierlo";1277;2,24;33,0;32,2;34,9;7,3;742
"Gemert-Bakel";249;2,37;29,4;32,9;37,8;6,3;735
"Gennep";358;2,37;31,3;33,7;35,0;6,2;698
"Gilze en Rijen";404;2,36;29,1;34,5;36,4;7,1;749
"Goeree-Overflakkee";190;2,37;30,4;34,9;34,7;5,1;731
"Goes";407;2,15;38,2;31,4;30,4;6,7;709
"Goirle";553;2,36;27,8;35,1;37,1;6,8;738
"Gooise Meren";1388;2,23;38,7;25,9;35,4;7,1;733
"Gorinchem";1948;2,22;37,5;27,8;34,7;7,5;756
"Gouda";4435;2,20;38,6;28,4;33,0;7,2;726
"Groningen";1246;1,71;59,0;22,0;19,0;5,7;705
"Gulpen-Wittem";195;2,18;31,4;38,2;30,3;5,3;638
"Haaksbergen";232;2,38;29,1;34,2;36,7;5,6;722
"Haarlem";5528;2,07;43,8;24,6;31,6;7,6;753
"Haarlemmermeer";781;2,38;30,6;27,8;41,6;8,4;758
"Halderberge";405;2,29;29,9;35,8;34,3;6,5;742
"Hardenberg";194;2,51;28,0;32,3;39,7;5,5;753
"Harderwijk";1223;2,36;33,1;29,5;37,4;7,3;733
"Hardinxveld-Giessendam";1067;2,57;27,4;31,8;40,9;4,5;767
"Harlingen";631;2,12;38,9;30,9;30,3;7,7;683
"Hattem";527;2,41;28,9;34,0;37,1;5,2;790
"Heemskerk";1432;2,27;33,3;30,8;35,9;8,2;753
"Heemstede";2972;2,27;36,3;28,7;35,0;6,5;691
"Heerde";236;2,44;26,1;37,2;36,8;4,8;731
"Heerenveen";264;2,22;35,7;30,6;33,8;7,2;723
"Heerlen";1932;1,93;45,9;27,5;26,6;9,1;658
"Heeze-Leende";153;2,39;28,2;36,3;35,5;5,2;751
"Heiloo";1255;2,22;35,2;31,9;32,9;5,8;710
