"ID";"Persoonskenmerken";"RegioS";"Perioden";"BeroepsEnNietBeroepsbevolking_1";"Beroepsbevolking_2";"WerkzameBeroepsbevolking_3";"Werknemer_4";"Zelfstandige_5";"PositieInDeWerkkringOnbekend_6";"Beroepsniveau1_7";"Beroepsniveau2_8";"Beroepsniveau3_9";"Beroepsniveau4_10";"BeroepsniveauOnbekend_11";"WerklozeBeroepsbevolking_12";"Werkloosheidspercentage_13";"NietBeroepsbevolking_14";"BrutoArbeidsparticipatie_15";"NettoArbeidsparticipatie_16"
"579";"T009002";"GM1680";"2022JJ00";"      19";"      14";"      13";"      11";"       3";"       0";"       1";"       5";"       2";"       4";"       0";"       0";"     3.0";"       5";"    72.4";"    70.2"
"589";"T009002";"GM0358";"2022JJ00";"      24";"      19";"      19";"      16";"       3";"       0";"       1";"       7";"       3";"       7";"       0";"       1";"     3.0";"       5";"    79.5";"    77.1"
"599";"T009002";"GM0197";"2022JJ00";"      20";"      15";"      15";"      12";"       2";"       0";"       1";"       6";"       3";"       4";"       0";"       0";"     2.8";"       5";"    74.9";"    72.8"
"609";"T009002";"GM0059";"2022JJ00";"      21";"      15";"      15";"      12";"       3";"       0";"       1";"       7";"       3";"       3";"       0";"       0";"     3.2";"       5";"    74.6";"    72.2"
"619";"T009002";"GM0482";"2022JJ00";"      14";"      11";"      11";"       9";"       2";"       0";"       1";"       5";"       2";"       3";"       0";"       0";"     3.1";"       3";"    77.2";"    74.8"
"629";"T009002";"GM0613";"2022JJ00";"      19";"      15";"      14";"      12";"       2";"       0";"       1";"       5";"       3";"       5";"       0";"       0";"     3.0";"       4";"    77.9";"    75.6"
"639";"T009002";"GM0361";"2022JJ00";"      84";"      63";"      60";"      51";"      10";"       0";"       4";"      22";"      10";"      24";"       0";"       2";"     3.3";"      22";"    74.4";"    72.0"
"649";"T009002";"GM0141";"2022JJ00";"      55";"      39";"      38";"      32";"       6";"       0";"       4";"      16";"       7";"      11";"       0";"       1";"     3.8";"      15";"    72.3";"    69.6"
"659";"T009002";"GM0034";"2022JJ00";"     168";"     128";"     123";"     106";"      17";"       0";"      10";"      48";"      24";"      41";"       1";"       5";"     4.1";"      40";"    76.1";"    73.0"
"669";"T009002";"GM0484";"2022JJ00";"      84";"      66";"      64";"      54";"       9";"       0";"       4";"      26";"      12";"      21";"       0";"       2";"     3.1";"      19";"    77.8";"    75.5"
"679";"T009002";"GM1723";"2022JJ00";"       8";"       6";"       6";"       5";"       1";"       0";"       0";"       2";"       1";"       2";"       0";"       0";"     2.5";"       2";"    74.5";"    72.6"
"689";"T009002";"GM1959";"2022JJ00";"      42";"      32";"      31";"      26";"       6";"       0";"       3";"      14";"       6";"       8";"       0";"       1";"     2.6";"      10";"    76.9";"    74.9"
"699";"T009002";"GM0060";"2022JJ00";"       3";"       2";"       2";"       2";"       0";"       0";"       0";"       1";"       0";"       1";"       0";"       0";"     2.9";"       1";"    75.5";"    73.4"
"709";"T009002";"GM0307";"2022JJ00";"     120";"      94";"      91";"      77";"      14";"       0";"       5";"      28";"      15";"      43";"       0";"       3";"     3.3";"      26";"    78.4";"    75.9"
"719";"T009002";"GM0362";"2022JJ00";"      68";"      51";"      49";"      40";"       9";"       0";"       4";"      14";"       9";"      22";"       0";"       2";"     3.9";"      17";"    75.3";"    72.4"
"729";"T009002";"GM0363";"2022JJ00";"     714";"     546";"     520";"     401";"     119";"       0";"      28";"     143";"      83";"     266";"       0";"      26";"     4.8";"     168";"    76.5";"    72.8"
"739";"T009002";"GM0200";"2022JJ00";"     122";"      91";"      88";"      75";"      13";"       0";"       7";"      33";"      15";"      33";"       0";"       3";"     3.5";"      31";"    74.6";"    72.0"
"749";"T009002";"GM0202";"2022JJ00";"     127";"      95";"      91";"      77";"      14";"       0";"       7";"      31";"      15";"      37";"       0";"       4";"     4.5";"      32";"    74.6";"    71.3"
"759";"T009002";"GM0106";"2022JJ00";"      51";"      38";"      36";"      32";"       5";"       0";"       3";"      13";"       7";"      13";"       0";"       1";"     3.5";"      13";"    74.6";"    72.0"
"769";"T009002";"GM0743";"2022JJ00";"      13";"      10";"       9";"       8";"       2";"       0";"       1";"       4";"       2";"       3";"       0";"       0";"     2.9";"       3";"    75.4";"    73.2"
"779";"T009002";"GM0744";"2022JJ00";"       5";"       4";"       3";"       3";"       1";"       0";"       0";"       2";"       1";"       1";"       0";"       0";"     2.8";"       1";"    71.1";"    69.1"
"789";"T009002";"GM0308";"2022JJ00";"      17";"      13";"      12";"      10";"       2";"       0";"       1";"       4";"       2";"       5";"       0";"       0";"     3.3";"       4";"    74.1";"    71.7"
"799";"T009002";"GM0489";"2022JJ00";"      36";"      28";"      27";"      23";"       4";"       0";"       2";"       9";"       5";"      10";"       0";"       1";"     3.4";"       8";"    77.0";"    74.3"
"809";"T009002";"GM0203";"2022JJ00";"      43";"      34";"      33";"      27";"       5";"       0";"       3";"      15";"       6";"      10";"       0";"       1";"     2.9";"       9";"    79.5";"    77.3"
"819";"T009002";"GM0888";"2022JJ00";"      12";"       8";"       8";"       7";"       1";"       0";"       1";"       3";"       1";"       3";"       0";"       0";"     3.2";"       3";"    71.7";"    69.4"
"829";"T009002";"GM1954";"2022JJ00";"      27";"      19";"      18";"      16";"       3";"       0";"       1";"       8";"       4";"       5";"       0";"       1";"     2.9";"       8";"    71.5";"    69.4"
"839";"T009002";"GM0889";"2022JJ00";"      10";"       7";"       7";"       6";"       1";"       0";"       1";"       3";"       1";"       2";"       0";"       0";"     3.1";"       3";"    73.1";"    70.8"
"849";"T009002";"GM1945";"2022JJ00";"      26";"      19";"      18";"      15";"       3";"       0";"       2";"       7";"       3";"       6";"       0";"       1";"     3.0";"       7";"    72.3";"    70.2"
"859";"T009002";"GM1724";"2022JJ00";"      14";"      11";"      10";"       9";"       2";"       0";"       1";"       5";"       2";"       3";"       0";"       0";"     2.8";"       3";"    75.4";"    73.4"
"869";"T009002";"GM0893";"2022JJ00";"      10";"       7";"       7";"       6";"       1";"       0";"       1";"       3";"       1";"       2";"       0";"       0";"     3.2";"       3";"    73.3";"    71.0"
