"","Cluster_minmax"
"Aalsmeer",4
"Alkmaar",4
"Almelo",4
"Assen",4
"Bergen op Zoom",4
"De Bilt",4
"Castricum",4
"Doetinchem",4
"Ermelo",4
"Geldrop-Mierlo",4
"Gilze en Rijen",4
"Goes",4
"Gooise Meren",4
"Haaksbergen",4
"Helmond",4
"Hengelo (O.)",4
"Heusden",4
"Houten",4
"Kampen",4
"Langedijk",4
"Lansingerland",4
"Lingewaard",4
"Meppel",4
"Middelburg (Z.)",4
"Nijkerk",4
"Nissewaard",4
"Noordwijk",4
"Oisterwijk",4
"Oosterhout",4
"Renkum",4
"Rheden",4
"Rijssen-Holten",4
"Roermond",4
"Roosendaal",4
"Smallingerland",4
"Soest",4
"Son en Breugel",4
"Tiel",4
"Uden",4
"Veendam",4
"Waalwijk",4
"Weert",4
"Wijchen",4
"Woerden",4
"Zeist",4
"Zuidplas",4
"Zutphen",4
