"","Cluster_normalized"
"Aa en Hunze",7
"Berkelland",7
"Borger-Odoorn",7
"Borsele",7
"Bronckhorst",7
"Buren",7
"Coevorden",7
"Dinkelland",7
"Heerenveen",7
"Hof van Twente",7
"Horst aan de Maas",7
"Hulst",7
"Leudal",7
"Lochem",7
"Midden-Drenthe",7
"Midden-Groningen",7
"Moerdijk",7
"Molenlanden",7
"Noordoostpolder",7
"Oldambt",7
"Ooststellingwerf",7
"Opsterland",7
"Raalte",7
"Steenwijkerland",7
"Terneuzen",7
"Tytsjerksteradiel",7
"Venray",7
"Vijfheerenlanden",7
"West Betuwe",7
"Westerveld",7
"Westerwolde",7
"Weststellingwerf",7
"De Wolden",7
