"","Cluster_standardized"
"Alblasserdam",6
"Albrandswaard",6
"Alphen-Chaam",6
"Appingedam",6
"Asten",6
"Baarle-Nassau",6
"Baarn",6
"Beek (L.)",6
"Beemster",6
"Beesel",6
"Best",6
"Beuningen",6
"Beverwijk",6
"Blaricum",6
"Bloemendaal",6
"Boekel",6
"Borne",6
"Boxtel",6
"Brielle",6
"Brummen",6
"Brunssum",6
"Bunnik",6
"Bunschoten",6
"Cuijk",6
"Culemborg",6
"Diemen",6
"Doesburg",6
"Dongen",6
"Druten",6
"Duiven",6
"Edam-Volendam",6
"Eemnes",6
"Enkhuizen",6
"Geertruidenberg",6
"Gennep",6
"Gilze en Rijen",6
"Goirle",6
"Grave",6
"Haaren",6
"Hardinxveld-Giessendam",6
"Hattem",6
"Heemskerk",6
"Heemstede",6
"Heeze-Leende",6
"Heiloo",6
"Hendrik-Ido-Ambacht",6
"Heumen",6
"Hillegom",6
"IJsselstein",6
"Kapelle",6
"Krimpen aan den IJssel",6
"Landsmeer",6
"Langedijk",6
"Laren (NH.)",6
"Leiderdorp",6
"Leusden",6
"Lisse",6
"Loon op Zand",6
"Lopik",6
"Loppersum",6
"Maassluis",6
"Meerssen",6
"Meppel",6
"Midden-Delfland",6
"Mill en Sint Hubert",6
"Montfoort",6
"Mook en Middelaar",6
"Noord-Beveland",6
"Nuenen, Gerwen en Nederwetten",6
"Oegstgeest",6
"Oisterwijk",6
"Oldenzaal",6
"Oostzaan",6
"Opmeer",6
"Ouder-Amstel",6
"Oudewater",6
"Papendrecht",6
"Pekela",6
"Renswoude",6
"Reusel-De Mierden",6
"Rhenen",6
"Rozendaal",6
"Scherpenzeel",6
"Schiermonnikoog",6
"Simpelveld",6
"Sint Anthonis",6
"Sliedrecht",6
"Son en Breugel",6
"Stede Broec",6
"Stein (L.)",6
"Uitgeest",6
"Uithoorn",6
"Urk",6
"Vaals",6
"Valkenburg aan de Geul",6
"Valkenswaard",6
"Veendam",6
"Voerendaal",6
"Voorschoten",6
"Vught",6
"Waalre",6
"Waddinxveen",6
"Wageningen",6
"Wassenaar",6
"Waterland",6
"Weesp",6
"Westervoort",6
"Westvoorne",6
"Wijk bij Duurstede",6
"Wormerland",6
"Woudenberg",6
"Zandvoort",6
"Zoeterwoude",6
