"Gemeenten";"Bevolkingsdichtheid";"Bevolking 10-14 jaar";"Bevolking 15-24 jaar";"Bevolking mannen totaal";"Bevolking vrouwen totaal";"Misdrijven - Drugsmisdrijven";"Misdrijven - Drugshandel"
"Aa en Hunze";93;5,0;10,1;49,8;50,2;0,39;0,39
"Aalsmeer";1645;6,5;12,8;49,5;50,5;2,47;2,47
"Aalten";282;5,6;11,5;50,4;49,6;2,58;2,58
"Achtkarspelen";275;6,2;12,6;51,0;49,0;10,02;10,02
"Alblasserdam";2321;6,6;12,1;49,2;50,8;4,48;4,48
"Albrandswaard";1216;6,6;11,8;49,5;50,5;3,47;3,47
"Alkmaar";1014;5,3;11,0;49,3;50,7;6,50;6,50
"Almelo";1101;5,6;12,5;50,2;49,8;10,94;10,66
"Almere";1725;6,2;12,3;49,6;50,4;7,35;7,25
"Alphen aan den Rijn";907;5,8;11,5;49,8;50,2;9,30;8,94
"Alphen-Chaam";113;5,2;10,4;51,0;49,0;2,88;2,88
"Altena";289;6,1;12,2;50,3;49,7;1,93;1,93
"Ameland";68;5,0;11,7;50,5;49,5;5,32;5,32
"Amersfoort";2573;6,2;12,2;49,5;50,5;4,79;4,79
"Amstelveen";2297;6,3;12,5;48,3;51,7;2,82;2,82
"Amsterdam";4880;4,4;13,1;49,5;50,5;13,93;13,88
"Apeldoorn";492;5,4;11,6;49,9;50,1;6,58;6,52
"Arnhem";1696;5,3;13,2;50,0;50,0;16,17;16,11
"Assen";848;5,8;12,1;49,5;50,5;3,77;3,77
"Asten";246;5,2;11,7;50,9;49,1;5,27;4,69
"Baarle-Nassau";93;4,7;9,4;50,3;49,7;4,33;4,33
"Baarn";769;5,7;9,6;48,5;51,5;4,82;4,82
"Barendrecht";2493;6,6;13,0;49,1;50,9;3,08;3,08
"Barneveld";351;7,1;13,3;49,9;50,1;5,78;5,78
"Beek";766;4,4;9,6;48,7;51,3;3,16;3,16
"Beekdaelen";459;4,5;9,4;49,9;50,1;5,01;5,01
"Beesel";482;4,9;10,8;50,3;49,7;1,49;1,49
"Berg en Dal";410;4,7;10,5;49,7;50,3;4,01;4,01
"Bergeijk";189;5,0;11,2;51,3;48,7;2,65;2,65
"Bergen (L.)";127;4,6;10,5;50,3;49,7;5,34;5,34
"Bergen (NH.)";304;4,7;10,5;47,9;52,1;0,34;0,34
"Bergen op Zoom";861;5,2;10,8;49,7;50,3;17,23;16,79
"Berkelland";171;5,2;11,5;50,1;49,9;2,05;2,05
"Bernheze";360;5,4;12,4;50,4;49,6;5,04;4,73
"Best";912;5,2;12,0;49,9;50,1;7,51;7,51
"Beuningen";609;4,9;10,7;49,8;50,2;4,19;3,81
"Beverwijk";2328;5,3;11,2;50,3;49,7;4,04;4,04
"Bladel";279;5,2;11,3;50,8;49,2;3,86;3,86
"Blaricum";1128;5,7;9,5;48,8;51,2;0,81;0,81
