"ID";"RegioS";"Perioden";"TotaleBevolking_1";"Mannen_2";"Vrouwen_3";"JongerDan5Jaar_4";"k_5Tot10Jaar_5";"k_10Tot15Jaar_6";"k_15Tot20Jaar_7";"k_20Tot25Jaar_8";"k_25Tot45Jaar_9";"k_45Tot65Jaar_10";"k_65Tot80Jaar_11";"k_80JaarOfOuder_12";"Ongehuwd_25";"Gehuwd_26";"Gescheiden_27";"Verweduwd_28";"NederlandseAchtergrond_34";"TotaalMetMigratieachtergrond_35";"WesterseMigratieachtergrond_36";"TotaalNietWesterseMigratieachtergrond_37"
"1662";"GM1680";"2004JJ00";"   25218";"   12506";"   12712";"    1475";"    1486";"    1588";"    1352";"     904";"    6380";"    7758";"    3212";"    1063";"    9757";"   12668";"    1070";"    1723";"   23936";"    1282";"     956";"     326"
"1663";"GM1680";"2005JJ00";"   25329";"   12561";"   12768";"    1429";"    1568";"    1590";"    1310";"     879";"    6256";"    7893";"    3325";"    1079";"    9846";"   12661";"    1109";"    1713";"   24054";"    1275";"     958";"     317"
"1664";"GM1680";"2006JJ00";"   25507";"   12618";"   12889";"    1422";"    1592";"    1621";"    1359";"     851";"    6123";"    8078";"    3373";"    1088";"   10033";"   12613";"    1150";"    1711";"   24210";"    1297";"     970";"     327"
"1665";"GM1680";"2007JJ00";"   25563";"   12653";"   12910";"    1330";"    1600";"    1599";"    1409";"     838";"    5977";"    8289";"    3422";"    1099";"   10042";"   12635";"    1216";"    1670";"   24252";"    1311";"     967";"     344"
"1666";"GM1680";"2008JJ00";"   25598";"   12668";"   12930";"    1289";"    1605";"    1572";"    1487";"     838";"    5797";"    8403";"    3465";"    1142";"   10111";"   12576";"    1234";"    1677";"   24262";"    1336";"     992";"     344"
"1667";"GM1680";"2009JJ00";"   25675";"   12763";"   12912";"    1228";"    1604";"    1595";"    1504";"     851";"    5662";"    8478";"    3564";"    1189";"   10147";"   12597";"    1274";"    1657";"   24201";"    1474";"    1018";"     456"
"1668";"GM1680";"2010JJ00";"   25563";"   12685";"   12878";"    1188";"    1564";"    1660";"    1482";"     823";"    5390";"    8590";"    3670";"    1196";"    9923";"   12478";"    1479";"    1683";"   24089";"    1474";"    1024";"     450"
"1669";"GM1680";"2011JJ00";"   25785";"   12840";"   12945";"    1157";"    1533";"    1631";"    1499";"     895";"    5300";"    8759";"    3792";"    1219";"   10134";"   12423";"    1540";"    1688";"   24211";"    1574";"    1029";"     545"
"1670";"GM1680";"2012JJ00";"   25738";"   12834";"   12904";"    1094";"    1443";"    1668";"    1478";"     915";"    5134";"    8724";"    4030";"    1252";"   10122";"   12361";"    1578";"    1677";"   24152";"    1586";"    1036";"     550"
"1671";"GM1680";"2013JJ00";"   25541";"   12686";"   12855";"    1018";"    1394";"    1661";"    1476";"     970";"    4867";"    8647";"    4252";"    1256";"    9991";"   12253";"    1632";"    1665";"   24080";"    1461";"    1031";"     430"
"1672";"GM1680";"2014JJ00";"   25357";"   12601";"   12756";"     973";"    1307";"    1653";"    1468";"     927";"    4706";"    8587";"    4411";"    1325";"    9854";"   12171";"    1671";"    1661";"   23895";"    1462";"    1029";"     433"
"1673";"GM1680";"2015JJ00";"   25203";"   12545";"   12658";"     934";"    1271";"    1569";"    1508";"     923";"    4504";"    8534";"    4595";"    1365";"    9811";"   12032";"    1706";"    1654";"   23748";"    1455";"    1037";"     418"
"1674";"GM1680";"2016JJ00";"   25243";"   12577";"   12666";"     941";"    1207";"    1543";"    1530";"     942";"    4410";"    8535";"    4727";"    1408";"    9851";"   11991";"    1770";"    1631";"   23755";"    1488";"    1050";"     438"
"1675";"GM1680";"2017JJ00";"   25286";"   12603";"   12683";"     936";"    1164";"    1472";"    1599";"     959";"    4383";"    8467";"    4853";"    1453";"    9951";"   11895";"    1793";"    1647";"   23702";"    1584";"    1056";"     528"
"1676";"GM1680";"2018JJ00";"   25390";"   12666";"   12724";"     938";"    1153";"    1440";"    1606";"     965";"    4398";"    8396";"    5017";"    1477";"   10041";"   11905";"    1803";"    1641";"   23746";"    1644";"    1064";"     580"
"1677";"GM1680";"2019JJ00";"   25386";"   12659";"   12727";"     922";"    1174";"    1366";"    1579";"    1031";"    4347";"    8354";"    5107";"    1506";"   10096";"   11825";"    1844";"    1621";"   23679";"    1707";"    1075";"     632"
"1678";"GM1680";"2020JJ00";"   25445";"   12708";"   12737";"     946";"    1160";"    1354";"    1545";"    1079";"    4375";"    8249";"    5166";"    1571";"   10174";"   11778";"    1867";"    1626";"   23734";"    1711";"    1071";"     640"
"1679";"GM1680";"2021JJ00";"   25399";"   12709";"   12690";"     937";"    1137";"    1309";"    1508";"    1103";"    4463";"    8060";"    5265";"    1617";"   10191";"   11732";"    1868";"    1608";"   23719";"    1680";"    1062";"     618"
"1680";"GM1680";"2022JJ00";"   25579";"   12774";"   12805";"    1007";"    1123";"    1296";"    1444";"    1137";"    4546";"    8005";"    5388";"    1633";"   10309";"   11726";"    1923";"    1621";"   23840";"    1739";"    1067";"     672"
"1681";"GM1680";"2023JJ00";"   25724";"   12820";"   12904";"    1030";"    1148";"    1278";"    1425";"    1162";"    4604";"    7919";"    5494";"    1664";"   10389";"   11754";"    1948";"    1633";"";"";"";""
"1691";"GM0738";"2004JJ00";"   12204";"    6151";"    6053";"     930";"     983";"     938";"     860";"     764";"    3472";"    2794";"    1111";"     352";"    5405";"    5916";"     313";"     570";"   11789";"     415";"     303";"     112"
"1692";"GM0738";"2005JJ00";"   12164";"    6122";"    6042";"     905";"     944";"     980";"     835";"     743";"    3448";"    2819";"    1123";"     367";"    5356";"    5910";"     320";"     578";"   11746";"     418";"     308";"     110"
