"RowName","Distance"
"Boekel                                  ",673.522301041324
"Westervoort                             ",1714.46297714474
"Sliedrecht                              ",5591.13408352903
"Zandvoort                               ",6614.40815719744
"Oosterhout                              ",7658.22227151968
"Woerden                                 ",7702.91408104751
"Westland                                ",7861.86359395786
"Westerkwartier                          ",8808.48988873802
"Huizen                                  ",9915.66362378232
"Opmeer                                  ",9945.66439108016
"Hulst                                   ",2765.95553651898
"Uitgeest                                ",3207.68395575375
"Oldebroek                               ",3704.33206124937
"Waalwijk                                ",4045.18133586122
"Bernheze                                ",4196.97105303337
"Overbetuwe                              ",4876.27286562186
"Helmond                                 ",4967.51719574276
"Cranendonck                             ",5239.64865711433
"Voorst                                  ",5624.59225899976
"Maashorst                               ",5791.21017404825
"Epe                                     ",2086.45396067107
"Aalten                                  ",2199.66612239221
"Valkenswaard                            ",3424.47107594735
"Drechterland                            ",3548.16580644141
"Eersel                                  ",3845.93866045729
"Ommen                                   ",4368.96830041144
"Nieuwegein                              ",4410.80813117052
"Westvoorne                              ",4489.18936557593
"Gulpen-Wittem                           ",4669.21160582812
"IJsselstein                             ",4676.40151184648
"Aalten                                  ",2199.66612239221
"Ommen                                   ",3195.1386605279
"Epe                                     ",3211.02838044138
"Drechterland                            ",3604.57570041191
"Nieuwegein                              ",3915.7433087474
"Nuenen, Gerwen en Nederwetten           ",4347.36959436393
"Valkenswaard                            ",4355.13757532411
"Zaanstad                                ",4522.0429387612
"IJsselstein                             ",5252.36139369712
"Eersel                                  ",5565.68300840068
"Harderwijk                              ",3193.9632339775
"Staphorst                               ",3401.20451016989
"Weert                                   ",3963.83137633275
"Heusden                                 ",4253.74871025546
"De Fryske Marren                        ",4546.45232901435
"Waadhoeke                               ",4600.07936344581
"Medemblik                               ",4643.51724773366
"Someren                                 ",4675.56235548196
"Breda                                   ",5059.74329388359
"Dronten                                 ",5130.06611458371
"Doetinchem                              ",2514.88834145773
"Sittard-Geleen                          ",2759.20207125176
"Druten                                  ",2961.32505814542
"Voerendaal                              ",3251.80674856302
"Borger-Odoorn                           ",3523.77725459485
"Best                                    ",3744.49850046705
"Nunspeet                                ",3795.06008648084
"Heeze-Leende                            ",3871.2726718742
"Baarle-Nassau                           ",3988.87993552075
"Leiden                                  ",4567.0184102979
"Almere                                  ",11198.0763999894
"Dongen                                  ",14018.5305956081
"Westerwolde                             ",14363.5942246361
"Deurne                                  ",16091.1704990656
"Velsen                                  ",16866.4337676938
"Zevenaar                                ",25590.5940345276
"Dantumadiel                             ",28396.3191179772
"Hellevoetsluis                          ",30774.472004244
"Opsterland                              ",31008.75676434
"Amersfoort                              ",31051.1026543342
"Arnhem                                  ",6809.1123547787
"Hoogeveen                               ",7420.37830167708
"Veldhoven                               ",7868.3251845612
"Vijfheerenlanden                        ",8014.78752806336
"Gorinchem                               ",8780.8159199473
"De Ronde Venen                          ",9363.37225843339
"Bergen (NH.)                            ",9774.15807320508
"Leiderdorp                              ",9940.2266669327
"Zeewolde                                ",12162.10475329
"Buren                                   ",12503.9804122527
"Tiel                                    ",40650.6728128822
"Boxtel                                  ",56983.1670244819
"Eijsden-Margraten                       ",62816.5516422225
"Nijkerk                                 ",72691.7004360195
"Apeldoorn                               ",85536.0548550727
"Haaksbergen                             ",88247.4222020111
"Amsterdam                               ",89952.1851322134
"Enkhuizen                               ",91511.1146534671
"'s-Gravenhage                           ",94093.9260440333
"Haarlem                                 ",94227.3335403799
"Westerwolde                             ",7869.58461483197
"Alkmaar                                 ",11198.0763999894
